10000055	Abingdon and Witney College 	Q01 	92%
10000654	Berkshire College of Agriculture 	Q14 	64%
10000654	Berkshire College of Agriculture 	Q15 	52%
10000654	Berkshire College of Agriculture 	Q16 	36%
10000654	Berkshire College of Agriculture 	Q17 	60%
10000654	Berkshire College of Agriculture 	Q18 	67%
10000654	Berkshire College of Agriculture 	Q19 	92%
10000654	Berkshire College of Agriculture 	Q20 	92%
10000654	Berkshire College of Agriculture 	Q21 	80%
10000654	Berkshire College of Agriculture 	Q22 	76%
10000654	Berkshire College of Agriculture 	Q24 	86%
10000671	Bexley College 	Q01 	78%
10000671	Bexley College 	Q02 	71%
10000671	Bexley College 	Q03 	67%
10000671	Bexley College 	Q04 	78%
10000671	Bexley College 	Q05 	60%
10000671	Bexley College 	Q06 	80%
10000671	Bexley College 	Q07 	67%
10000671	Bexley College 	Q08 	69%
10000671	Bexley College 	Q09 	67%
10000671	Bexley College 	Q10 	76%
10000671	Bexley College 	Q11 	87%
10000671	Bexley College 	Q12 	71%
10000671	Bexley College 	Q13 	76%
10000671	Bexley College 	Q14 	58%
10000671	Bexley College 	Q15 	62%
10000671	Bexley College 	Q16 	82%
10000671	Bexley College 	Q17 	84%
10000671	Bexley College 	Q18 	67%
10000671	Bexley College 	Q19 	73%
10000671	Bexley College 	Q20 	70%
10000671	Bexley College 	Q21 	73%
10000671	Bexley College 	Q22 	71%
10000671	Bexley College 	Q24 	58%
10000683	Bicton College 	Q01 	85%
10000683	Bicton College 	Q02 	85%
10000683	Bicton College 	Q03 	79%
10000683	Bicton College 	Q04 	74%
10000683	Bicton College 	Q05 	79%
10000683	Bicton College 	Q06 	76%
10000683	Bicton College 	Q07 	35%
10000683	Bicton College 	Q08 	74%
10000683	Bicton College 	Q09 	53%
10000683	Bicton College 	Q10 	65%
10000683	Bicton College 	Q11 	76%
10000683	Bicton College 	Q12 	75%
10000683	Bicton College 	Q13 	71%
10000683	Bicton College 	Q14 	71%
10000683	Bicton College 	Q15 	59%
10000683	Bicton College 	Q16 	41%
10000683	Bicton College 	Q17 	74%
10000683	Bicton College 	Q18 	50%
10000683	Bicton College 	Q19 	79%
10000683	Bicton College 	Q20 	82%
10000683	Bicton College 	Q21 	76%
10000683	Bicton College 	Q22 	79%
10000683	Bicton College 	Q24 	25%
10000712	University College Birmingham 	Q01 	89%
10000712	University College Birmingham 	Q02 	79%
10000712	University College Birmingham 	Q03 	86%
10000712	University College Birmingham 	Q04 	79%
10000712	University College Birmingham 	Q05 	74%
10000712	University College Birmingham 	Q06 	72%
10000712	University College Birmingham 	Q07 	68%
10000712	University College Birmingham 	Q08 	81%
10000712	University College Birmingham 	Q09 	69%
10000712	University College Birmingham 	Q10 	78%
10000712	University College Birmingham 	Q11 	84%
10000712	University College Birmingham 	Q12 	74%
10000712	University College Birmingham 	Q13 	84%
10000712	University College Birmingham 	Q14 	77%
10000712	University College Birmingham 	Q15 	82%
10000712	University College Birmingham 	Q16 	80%
10000712	University College Birmingham 	Q17 	79%
10000712	University College Birmingham 	Q18 	72%
10000712	University College Birmingham 	Q19 	83%
10000712	University College Birmingham 	Q20 	85%
10000712	University College Birmingham 	Q21 	82%
10000712	University College Birmingham 	Q22 	85%
10000712	University College Birmingham 	Q24 	63%
10000720	Bishop Auckland College 	Q01 	92%
10000720	Bishop Auckland College 	Q02 	91%
10000720	Bishop Auckland College 	Q03 	91%
10000720	Bishop Auckland College 	Q04 	89%
10000720	Bishop Auckland College 	Q05 	85%
10000720	Bishop Auckland College 	Q06 	91%
10000720	Bishop Auckland College 	Q07 	80%
10000720	Bishop Auckland College 	Q08 	79%
10000720	Bishop Auckland College 	Q09 	74%
10000720	Bishop Auckland College 	Q10 	86%
10000720	Bishop Auckland College 	Q11 	89%
10000720	Bishop Auckland College 	Q12 	84%
10000720	Bishop Auckland College 	Q13 	85%
10000720	Bishop Auckland College 	Q14 	89%
10000720	Bishop Auckland College 	Q15 	85%
10000720	Bishop Auckland College 	Q16 	68%
10000720	Bishop Auckland College 	Q17 	80%
10000720	Bishop Auckland College 	Q18 	78%
10000720	Bishop Auckland College 	Q19 	95%
10000720	Bishop Auckland College 	Q20 	84%
10000720	Bishop Auckland College 	Q21 	91%
10000720	Bishop Auckland College 	Q22 	89%
10000720	Bishop Auckland College 	Q24 	59%
10000721	Bishop Burton College 	Q01 	81%
10000721	Bishop Burton College 	Q02 	68%
10000721	Bishop Burton College 	Q03 	72%
10000721	Bishop Burton College 	Q04 	67%
10000721	Bishop Burton College 	Q05 	81%
10000721	Bishop Burton College 	Q06 	76%
10000721	Bishop Burton College 	Q07 	54%
10000721	Bishop Burton College 	Q08 	78%
10000721	Bishop Burton College 	Q09 	67%
10000721	Bishop Burton College 	Q10 	72%
10000721	Bishop Burton College 	Q11 	74%
10000721	Bishop Burton College 	Q12 	74%
10000721	Bishop Burton College 	Q13 	62%
10000721	Bishop Burton College 	Q14 	65%
10000721	Bishop Burton College 	Q15 	54%
10000721	Bishop Burton College 	Q16 	73%
10000721	Bishop Burton College 	Q17 	78%
10000721	Bishop Burton College 	Q18 	63%
10000721	Bishop Burton College 	Q19 	69%
10000721	Bishop Burton College 	Q20 	79%
10000721	Bishop Burton College 	Q21 	73%
10000721	Bishop Burton College 	Q22 	65%
10000721	Bishop Burton College 	Q24 	44%
10000747	Blackburn College 	Q01 	88%
10000747	Blackburn College 	Q02 	83%
10000747	Blackburn College 	Q03 	87%
10000747	Blackburn College 	Q04 	82%
10000747	Blackburn College 	Q05 	79%
10000747	Blackburn College 	Q06 	82%
10000747	Blackburn College 	Q07 	62%
10000747	Blackburn College 	Q08 	75%
10000747	Blackburn College 	Q09 	75%
10000747	Blackburn College 	Q10 	82%
10000747	Blackburn College 	Q11 	85%
10000747	Blackburn College 	Q12 	77%
10000747	Blackburn College 	Q13 	79%
10000747	Blackburn College 	Q14 	74%
10000747	Blackburn College 	Q15 	69%
10000747	Blackburn College 	Q16 	66%
10000747	Blackburn College 	Q17 	71%
10000747	Blackburn College 	Q18 	66%
10000747	Blackburn College 	Q19 	82%
10000747	Blackburn College 	Q20 	84%
10000747	Blackburn College 	Q21 	80%
10000747	Blackburn College 	Q22 	84%
10000747	Blackburn College 	Q24 	59%
10000754	Blackpool and the Fylde College 	Q01 	93%
10000754	Blackpool and the Fylde College 	Q02 	88%
10000754	Blackpool and the Fylde College 	Q03 	93%
10000754	Blackpool and the Fylde College 	Q04 	85%
10000754	Blackpool and the Fylde College 	Q05 	85%
10000754	Blackpool and the Fylde College 	Q06 	86%
10000754	Blackpool and the Fylde College 	Q07 	73%
10000754	Blackpool and the Fylde College 	Q08 	84%
10000754	Blackpool and the Fylde College 	Q09 	80%
10000754	Blackpool and the Fylde College 	Q10 	86%
10000754	Blackpool and the Fylde College 	Q11 	85%
10000754	Blackpool and the Fylde College 	Q12 	84%
10000754	Blackpool and the Fylde College 	Q13 	82%
10000754	Blackpool and the Fylde College 	Q14 	74%
10000754	Blackpool and the Fylde College 	Q15 	74%
10000754	Blackpool and the Fylde College 	Q16 	78%
10000754	Blackpool and the Fylde College 	Q17 	86%
10000754	Blackpool and the Fylde College 	Q18 	79%
10000754	Blackpool and the Fylde College 	Q19 	83%
10000754	Blackpool and the Fylde College 	Q20 	85%
10000754	Blackpool and the Fylde College 	Q21 	82%
10000754	Blackpool and the Fylde College 	Q22 	85%
10000754	Blackpool and the Fylde College 	Q24 	61%
10000794	Bolton College 	Q01 	96%
10000794	Bolton College 	Q02 	92%
10000794	Bolton College 	Q03 	92%
10000794	Bolton College 	Q04 	96%
10000794	Bolton College 	Q05 	88%
10000794	Bolton College 	Q06 	88%
10000794	Bolton College 	Q07 	88%
10000794	Bolton College 	Q08 	92%
10000794	Bolton College 	Q09 	88%
10000794	Bolton College 	Q10 	92%
10000794	Bolton College 	Q11 	88%
10000794	Bolton College 	Q12 	83%
10000794	Bolton College 	Q13 	88%
10000794	Bolton College 	Q14 	80%
10000794	Bolton College 	Q15 	68%
10000794	Bolton College 	Q16 	88%
10000794	Bolton College 	Q17 	84%
10000794	Bolton College 	Q18 	73%
10000794	Bolton College 	Q19 	100%
10000794	Bolton College 	Q20 	96%
10000794	Bolton College 	Q21 	88%
10000794	Bolton College 	Q22 	96%
10000794	Bolton College 	Q24 	82%
10000820	The Bournemouth and Poole College 	Q01 	95%
10000820	The Bournemouth and Poole College 	Q02 	86%
10000820	The Bournemouth and Poole College 	Q03 	87%
10000820	The Bournemouth and Poole College 	Q04 	80%
10000820	The Bournemouth and Poole College 	Q05 	83%
10000820	The Bournemouth and Poole College 	Q06 	86%
10000820	The Bournemouth and Poole College 	Q07 	86%
10000820	The Bournemouth and Poole College 	Q08 	89%
10000820	The Bournemouth and Poole College 	Q09 	82%
10000820	The Bournemouth and Poole College 	Q10 	89%
10000820	The Bournemouth and Poole College 	Q11 	90%
10000820	The Bournemouth and Poole College 	Q12 	87%
10000820	The Bournemouth and Poole College 	Q13 	83%
10000820	The Bournemouth and Poole College 	Q14 	79%
10000820	The Bournemouth and Poole College 	Q15 	76%
10000820	The Bournemouth and Poole College 	Q16 	82%
10000820	The Bournemouth and Poole College 	Q17 	87%
10000820	The Bournemouth and Poole College 	Q18 	78%
10000820	The Bournemouth and Poole College 	Q19 	81%
10000820	The Bournemouth and Poole College 	Q20 	83%
10000820	The Bournemouth and Poole College 	Q21 	84%
10000820	The Bournemouth and Poole College 	Q22 	86%
10000820	The Bournemouth and Poole College 	Q24 	64%
10000824	Bournemouth University 	Q01 	86%
10000824	Bournemouth University 	Q02 	80%
10000824	Bournemouth University 	Q03 	86%
10000824	Bournemouth University 	Q04 	81%
10000824	Bournemouth University 	Q05 	72%
10000824	Bournemouth University 	Q06 	72%
10000824	Bournemouth University 	Q07 	68%
10000824	Bournemouth University 	Q08 	72%
10000824	Bournemouth University 	Q09 	60%
10000824	Bournemouth University 	Q10 	75%
10000824	Bournemouth University 	Q11 	83%
10000824	Bournemouth University 	Q12 	73%
10000824	Bournemouth University 	Q13 	78%
10000824	Bournemouth University 	Q14 	78%
10000824	Bournemouth University 	Q15 	69%
10000824	Bournemouth University 	Q16 	84%
10000824	Bournemouth University 	Q17 	85%
10000824	Bournemouth University 	Q18 	80%
10000824	Bournemouth University 	Q19 	80%
10000824	Bournemouth University 	Q20 	83%
10000824	Bournemouth University 	Q21 	80%
10000824	Bournemouth University 	Q22 	80%
10000824	Bournemouth University 	Q24 	78%
10000824	Bournemouth University 	NHS1 	65%
10000824	Bournemouth University 	NHS2 	87%
10000824	Bournemouth University 	NHS3 	83%
10000824	Bournemouth University 	NHS4 	89%
10000824	Bournemouth University 	NHS5 	86%
10000824	Bournemouth University 	NHS6 	79%
10000840	Bradford College 	Q01 	85%
10000840	Bradford College 	Q02 	75%
10000840	Bradford College 	Q03 	81%
10000840	Bradford College 	Q04 	75%
10000840	Bradford College 	Q05 	78%
10000840	Bradford College 	Q06 	74%
10000840	Bradford College 	Q07 	65%
10000840	Bradford College 	Q08 	76%
10000840	Bradford College 	Q09 	72%
10000840	Bradford College 	Q10 	72%
10000840	Bradford College 	Q11 	76%
10000840	Bradford College 	Q12 	70%
10000840	Bradford College 	Q13 	76%
10000840	Bradford College 	Q14 	64%
10000840	Bradford College 	Q15 	65%
10000840	Bradford College 	Q16 	74%
10000840	Bradford College 	Q17 	74%
10000840	Bradford College 	Q18 	68%
10000840	Bradford College 	Q19 	82%
10000840	Bradford College 	Q20 	82%
10000840	Bradford College 	Q21 	80%
10000840	Bradford College 	Q22 	76%
10000840	Bradford College 	Q24 	63%
10000878	Bridgwater College 	Q01 	90%
10000878	Bridgwater College 	Q02 	86%
10000878	Bridgwater College 	Q03 	91%
10000878	Bridgwater College 	Q04 	84%
10000878	Bridgwater College 	Q05 	78%
10000878	Bridgwater College 	Q06 	88%
10000878	Bridgwater College 	Q07 	68%
10000878	Bridgwater College 	Q08 	88%
10000878	Bridgwater College 	Q09 	75%
10000878	Bridgwater College 	Q10 	81%
10000878	Bridgwater College 	Q11 	89%
10000878	Bridgwater College 	Q12 	83%
10000878	Bridgwater College 	Q13 	81%
10000878	Bridgwater College 	Q14 	82%
10000878	Bridgwater College 	Q15 	72%
10000878	Bridgwater College 	Q16 	84%
10000878	Bridgwater College 	Q17 	88%
10000878	Bridgwater College 	Q18 	82%
10000878	Bridgwater College 	Q19 	80%
10000878	Bridgwater College 	Q20 	75%
10000878	Bridgwater College 	Q21 	83%
10000878	Bridgwater College 	Q22 	87%
10000878	Bridgwater College 	Q24 	49%
10000886	University of Brighton 	Q01 	89%
10000886	University of Brighton 	Q02 	83%
10000886	University of Brighton 	Q03 	88%
10000886	University of Brighton 	Q04 	85%
10000886	University of Brighton 	Q05 	76%
10000886	University of Brighton 	Q06 	75%
10000886	University of Brighton 	Q07 	66%
10000886	University of Brighton 	Q08 	75%
10000886	University of Brighton 	Q09 	67%
10000886	University of Brighton 	Q10 	80%
10000886	University of Brighton 	Q11 	86%
10000886	University of Brighton 	Q12 	78%
10000886	University of Brighton 	Q13 	80%
10000886	University of Brighton 	Q14 	76%
10000886	University of Brighton 	Q15 	74%
10000886	University of Brighton 	Q16 	84%
10000886	University of Brighton 	Q17 	86%
10000886	University of Brighton 	Q18 	79%
10000886	University of Brighton 	Q19 	81%
10000886	University of Brighton 	Q20 	84%
10000886	University of Brighton 	Q21 	81%
10000886	University of Brighton 	Q22 	86%
10000886	University of Brighton 	Q24 	56%
10000886	University of Brighton 	NHS1 	73%
10000886	University of Brighton 	NHS2 	88%
10000886	University of Brighton 	NHS3 	83%
10000886	University of Brighton 	NHS4 	91%
10000886	University of Brighton 	NHS5 	89%
10000886	University of Brighton 	NHS6 	82%
10000948	Bromley College of Further and Higher Education 	Q01 	91%
10000948	Bromley College of Further and Higher Education 	Q02 	85%
10000948	Bromley College of Further and Higher Education 	Q03 	84%
10000948	Bromley College of Further and Higher Education 	Q04 	90%
